1.119554912, Sport: ,American Football, Time: ,Sun Jul 26 01:00:00 CEST 2015, Time: ,Sun Jul 26 01:00:00 CEST 2015, Event: ,Winnipeg @ Edmonton, Favorite: ,Edmonton, 2014480   size:2.55,Price: ,1.43,Winnipeg, 2026212   size:12.61,Price: ,2.98,ok
1.119656301, Sport: ,Soccer, Time: ,Sun Jul 26 00:00:00 CEST 2015, Time: ,Sun Jul 26 00:00:00 CEST 2015, Event: ,Caxias RS v Guarani SP, Favorite: ,Caxias RS, 5310335   size:9.08,Price: ,2.2,The Draw, 58805   size:15.86,Price: ,2.66,Guarani SP, 5310337   size:8.28,Price: ,2.72,x
1.119655613, Sport: ,Soccer, Time: ,Sat Jul 25 20:30:00 CEST 2015, Time: ,Sat Jul 25 20:30:00 CEST 2015, Event: ,Comunicaciones B Aires v Deportivo Merlo, Favorite: ,Comunicaciones B Aires, 7852197   size:2.82,Price: ,2.76,The Draw, 58805   size:12.51,Price: ,2.82,Deportivo Merlo, 5181458   size:4.87,Price: ,2.84,ok
1.119602244, Sport: ,Handball, Time: ,Sat Jul 25 22:45:00 CEST 2015, Time: ,Sat Jul 25 22:45:00 CEST 2015, Event: ,Serbia U21 v Spain U21, Favorite: ,Spain U21, 7437030   size:2.33,Price: ,1.6,Serbia U21, 7437022   size:7.17,Price: ,2.98,Draw, 330157   size:71.1,Price: ,8.0,ok
1.119654524, Sport: ,Soccer, Time: ,Sat Jul 25 20:45:00 CEST 2015, Time: ,Sat Jul 25 20:45:00 CEST 2015, Event: ,Cesena v Genoa, Favorite: ,Genoa, 60310   size:56.71,Price: ,1.92,The Draw, 58805   size:10.76,Price: ,3.7,Cesena, 501219   size:14.69,Price: ,4.3,x
1.119540350, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Steaua Bucharest v CFR Cluj, Favorite: ,Steaua Bucharest, 489080   size:70.38,Price: ,1.73,The Draw, 58805   size:101.41,Price: ,3.85,CFR Cluj, 1193695   size:124.57,Price: ,6.0,x
1.119645928, Sport: ,Boxing, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,H Fury v Arias, Favorite: ,Hughie Fury, 10064530   size:2571.85,Price: ,1.02,George Arias, 3318725   size:6.23,Price: ,6.0,Draw, 31162   size:4.27,Price: ,120.0,ok
1.119623623, Sport: ,Volleyball, Time: ,Sun Jul 26 00:10:00 CEST 2015, Time: ,Sun Jul 26 00:10:00 CEST 2015, Event: ,USA (W) v Brazil (W), Favorite: ,USA (W), 8555561   size:7.02,Price: ,1.42,Brazil (W), 6487492   size:50.9,Price: ,2.96,ok
1.119623625, Sport: ,Volleyball, Time: ,Sun Jul 26 03:10:00 CEST 2015, Time: ,Sun Jul 26 03:10:00 CEST 2015, Event: ,Italy (W) v Japan (W), Favorite: ,Italy (W), 5857946   size:3.47,Price: ,1.24,Japan (W), 7683862   size:4.48,Price: ,4.2,ok
1.119560242, Sport: ,Soccer, Time: ,Sun Jul 26 02:30:00 CEST 2015, Time: ,Sun Jul 26 02:30:00 CEST 2015, Event: ,St Louis FC v Oklahoma City Energy, Favorite: ,St Louis FC, 9587800   size:2.55,Price: ,2.3,Oklahoma City Energy, 9587744   size:11.81,Price: ,2.76,The Draw, 58805   size:20.39,Price: ,3.3,x
1.119593837, Sport: ,Soccer, Time: ,Sun Jul 26 01:00:00 CEST 2015, Time: ,Sun Jul 26 01:00:00 CEST 2015, Event: ,Atletico Huila v Atletico Nacional, Favorite: ,Atletico Nacional, 478920   size:44.66,Price: ,2.22,The Draw, 58805   size:152.0,Price: ,3.35,Atletico Huila, 4880434   size:54.63,Price: ,3.7,ok
1.119623621, Sport: ,Volleyball, Time: ,Sat Jul 25 22:10:00 CEST 2015, Time: ,Sat Jul 25 22:10:00 CEST 2015, Event: ,China (W) v Russia (W), Favorite: ,Russia (W), 6358161   size:2.71,Price: ,1.3,China (W), 7676900   size:3.64,Price: ,3.6,x
